Config,Model,Accuracy,F1,Precision,Recall,AUC,FPR,FNR
A0,gradient_boosting,0.57875,0.27213822894168466,1.0,0.1575,0.57875,0.0,0.8425
A1,gradient_boosting,0.82875,0.8125854993160054,0.8972809667673716,0.7425,0.8982062500000001,0.085,0.2575
A2,gradient_boosting,0.88875,0.8798920377867746,0.9560117302052786,0.815,0.9254249999999999,0.0375,0.185
A3,gradient_boosting,0.93375,0.9335006273525721,0.9370277078085643,0.93,0.98755,0.0625,0.07
A4,gradient_boosting,0.975,0.9748110831234257,0.9822335025380711,0.9675,0.9959999999999999,0.0175,0.0325
A5,Rule-based (All Features),0.85875,0.8662721893491124,0.8224719101123595,0.915,0.9570500000000001,0.1975,0.085
A6,random_forest,0.9875,0.9874686716791979,0.9899497487437185,0.985,0.9961093750000001,0.01,0.015
A7,gradient_boosting,0.98125,0.981226533166458,0.9824561403508771,0.98,0.99766875,0.0175,0.02
A8,isolation_forest,0.92,0.9197994987468672,0.9221105527638191,0.9175,0.969175,0.0775,0.0825
A9,Hybrid (Rule+GBDT),0.9825,0.9824561403508771,0.9849246231155779,0.98,0.99500625,0.015,0.02
A10,Full System (Hybrid+Graph),1.0,1.0,1.0,1.0,1.0,0.0,0.0
